dist_code,month,sector,investment in cr,number_of_employees
14_1,01-04-2019,Engineering,2.32,15
19_1,01-04-2019,Engineering,0.625,13
20_3,01-04-2019,Wood and Leather,0.2,8
20_3,01-04-2019,Textiles,0.2675,27
21_5,01-04-2019,Electrical and Electronic Products,0.12,5
20_3,01-04-2019,Plastic and Rubber,0.15,4
20_3,01-04-2019,Paper and Printing,0.2,10
19_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.03,3
19_2,01-04-2019,Engineering,0.03,0
20_3,01-04-2019,Food Processing,2.02,12
20_3,01-04-2019,Engineering,0.155,6
20_3,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.62,28
23_1,01-04-2019,Plastic and Rubber,1.2916,19
23_1,01-04-2019,Pharmaceuticals and Chemicals,3,20
23_1,01-04-2019,Granite and Stone Crushing,0.82,30
23_1,01-04-2019,Food Processing,1.25,20
23_1,01-04-2019,Agro based incl Cold Storages,0.2,10
20_3,01-04-2019,Agro based incl Cold Storages,0.56,24
15_3,01-04-2019,Agro based incl Cold Storages,0.1952,5
15_3,01-04-2019,Food Processing,0.056,5
19_1,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",19.3702,99
14_3,01-04-2019,Food Processing,0.2346,10
23_2,01-04-2019,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.95,25
23_2,01-04-2019,Granite and Stone Crushing,6.0758,60
23_3,01-04-2019,Food Processing,6.1433,50
23_3,01-04-2019,Engineering,2.7,20
20_4,01-04-2019,Engineering,0.08,3
20_4,01-04-2019,Agro based incl Cold Storages,1.014,8
15_2,01-04-2019,Wood and Leather,1.5304,7
15_2,01-04-2019,"Real Estate,Industrial Parks and IT Buildings",531,70
15_2,01-04-2019,R&D,93,50
15_2,01-04-2019,Plastic and Rubber,5.5373,75
15_2,01-04-2019,Pharmaceuticals and Chemicals,9.05,503
15_3,01-04-2019,Plastic and Rubber,0.105,6
15_2,01-04-2019,Paper and Printing,6.1237,462
15_2,01-04-2019,Food Processing,0.4225,265
15_2,01-04-2019,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.05,5
15_2,01-04-2019,Engineering,36.6737,1159
15_2,01-04-2019,Electrical and Electronic Products,14.95,39
