dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev
14_1,2019-04-01,4533,59236363,0,0
17_3,2019-04-01,4151,41508762,0,0
20_3,2019-04-01,2116,23674170,0,0
21_5,2019-04-01,1089,15915285,0,0
23_1,2019-04-01,6133,82593256,0,0
23_3,2019-04-01,7413,113680902,0,0
20_1,2019-04-01,2748,58308650,0,0
20_4,2019-04-01,1384,27467135,0,0
16_1,2019-04-01,5268,724238098,0,0
14_3,2019-04-01,2726,21804047,0,0
15_2,2019-04-01,14140,1080766807,0,0
21_6,2019-04-01,563,5688052,0,0
22_2,2019-04-01,542,12610700,0,0
20_2,2019-04-01,1943,26031616,0,0
14_2,2019-04-01,2074,17019180,0,0
21_2,2019-04-01,947,10639865,0,0
22_1,2019-04-01,4088,89082890,0,0
17_2,2019-04-01,8316,418960714,0,0
23_2,2019-04-01,2692,45800865,0,0
19_4,2019-04-01,585,8302945,0,0
19_3,2019-04-01,1620,24326193,0,0
18_2,2019-04-01,2876,26367902,0,0
19_1,2019-04-01,1043,12672655,0,0
14_5,2019-04-01,2091,13948976,0,0
14_4,2019-04-01,2355,19227636,0,0
18_1,2019-04-01,4562,60415544,0,0
19_2,2019-04-01,1767,18940764,0,0
21_1,2019-04-01,4186,120047007,0,0
15_1,2019-04-01,29436,2026355727,0,0
17_1,2019-04-01,2205,30584778,0,0
21_3,2019-04-01,2372,30706161,0,0
15_3,2019-04-01,2259,26570227,0,0
21_2,2019-05-01,1230,15030867,0,0
18_2,2019-05-01,3352,26907600,0,0
20_2,2019-05-01,2312,29341793,0,0
22_2,2019-05-01,782,12779175,0,0
21_6,2019-05-01,616,6059339,0,0
19_3,2019-05-01,2260,33143566,0,0
22_1,2019-05-01,5095,93397223,0,0
17_1,2019-05-01,2400,68953812,0,0
17_3,2019-05-01,4478,49926112,0,0
23_3,2019-05-01,8787,161615746,0,0
18_1,2019-05-01,5047,71038874,0,0
14_5,2019-05-01,1615,11855661,0,0
21_3,2019-05-01,2968,38073544,0,0
20_1,2019-05-01,3029,60448065,0,0
19_1,2019-05-01,1092,15177385,0,0
19_2,2019-05-01,1788,20714061,0,0
23_1,2019-05-01,6592,90267315,0,0
14_3,2019-05-01,3471,25935850,0,0
17_2,2019-05-01,8494,425344246,0,0
19_4,2019-05-01,414,4902685,0,0
14_2,2019-05-01,2392,21224914,0,0
14_4,2019-05-01,2809,20217773,0,0
15_1,2019-05-01,31310,2027201202,0,0
16_1,2019-05-01,5210,754708131,0,0
14_1,2019-05-01,4301,73344601,0,0
20_4,2019-05-01,1554,27369396,0,0
20_3,2019-05-01,2097,23745502,0,0
21_1,2019-05-01,5395,151385340,0,0
15_3,2019-05-01,2347,26915352,0,0
21_5,2019-05-01,1468,19541233,0,0
15_2,2019-05-01,16036,1231074513,0,0
23_2,2019-05-01,3460,53073454,0,0
14_5,2019-06-01,1701,12770293,0,0
20_1,2019-06-01,3276,63248165,0,0
17_3,2019-06-01,5625,50053613,0,0
16_1,2019-06-01,5015,746210249,0,0
21_1,2019-06-01,4541,141468882,0,0
19_3,2019-06-01,1994,26534317,0,0
20_4,2019-06-01,2053,33732651,0,0
21_2,2019-06-01,1276,14677798,0,0
23_3,2019-06-01,9280,106077226,0,0
15_1,2019-06-01,24084,2089441609,0,0
14_3,2019-06-01,4267,29213266,0,0
21_5,2019-06-01,1392,18292822,0,0
23_2,2019-06-01,3319,46934818,0,0
17_2,2019-06-01,8251,388914751,0,0
19_4,2019-06-01,520,5626095,0,0
19_2,2019-06-01,1860,20888875,0,0
14_4,2019-06-01,2527,17696126,0,0
22_1,2019-06-01,5049,99823253,0,0
14_1,2019-06-01,3565,50331243,0,0
22_2,2019-06-01,705,13006275,0,0
15_2,2019-06-01,11808,942570587,0,0
19_1,2019-06-01,824,11443194,0,0
17_1,2019-06-01,2613,45801812,0,0
21_3,2019-06-01,2766,34975070,0,0
18_1,2019-06-01,5258,66957257,0,0
23_1,2019-06-01,7146,104282218,0,0
20_3,2019-06-01,2388,27212704,0,0
18_2,2019-06-01,3595,34889349,0,0
20_2,2019-06-01,2672,32368172,0,0
21_6,2019-06-01,721,6553495,0,0
15_3,2019-06-01,2072,29390216,0,0
14_2,2019-06-01,1753,24300464,0,0
21_3,2019-07-01,3210,38094533,0,0
15_3,2019-07-01,2635,31158113,0,0
21_6,2019-07-01,1022,9855642,0,0
23_2,2019-07-01,4709,70377544,0,0
15_1,2019-07-01,29063,1762830038,0,0
23_1,2019-07-01,8928,115173858,0,0
18_1,2019-07-01,5749,74149259,0,0
19_1,2019-07-01,1186,17853370,0,0
14_1,2019-07-01,5056,58994710,0,0
17_3,2019-07-01,5575,47714647,0,0
18_2,2019-07-01,3835,32920357,0,0
23_3,2019-07-01,9448,134999011,0,0
21_1,2019-07-01,5892,152570326,0,0
19_2,2019-07-01,2127,22890600,0,0
14_4,2019-07-01,3460,22968808,0,0
14_3,2019-07-01,4185,28345301,0,0
20_4,2019-07-01,2236,34112815,0,0
19_3,2019-07-01,2434,33016334,0,0
14_5,2019-07-01,2187,16498551,0,0
16_1,2019-07-01,5573,658623385,0,0
19_4,2019-07-01,504,5472687,0,0
20_3,2019-07-01,2413,25639647,0,0
21_5,2019-07-01,1858,19590782,0,0
21_2,2019-07-01,1451,17966223,0,0
20_2,2019-07-01,3106,35101355,0,0
14_2,2019-07-01,3068,22574155,0,0
20_1,2019-07-01,3675,69644228,0,0
17_1,2019-07-01,2909,38470965,0,0
17_2,2019-07-01,10308,406370671,0,0
15_2,2019-07-01,14497,1017656366,0,0
22_2,2019-07-01,708,13359678,0,0
22_1,2019-07-01,5472,98933054,0,0
14_1,2019-08-01,4864,73289753,0,0
19_4,2019-08-01,387,5255110,0,0
15_1,2019-08-01,27288,2010161113,0,0
20_3,2019-08-01,2493,22575950,0,0
18_2,2019-08-01,2710,24438466,0,0
15_3,2019-08-01,2197,33431499,0,0
16_1,2019-08-01,5956,797295938,0,0
15_2,2019-08-01,14718,1122098095,0,0
20_2,2019-08-01,2497,32248561,0,0
21_6,2019-08-01,816,7554861,0,0
21_3,2019-08-01,2920,35046121,0,0
23_3,2019-08-01,7865,113198332,0,0
18_1,2019-08-01,5062,62483945,0,0
21_1,2019-08-01,4997,135863416,0,0
19_2,2019-08-01,1523,15199278,0,0
19_1,2019-08-01,1124,14955291,0,0
14_4,2019-08-01,3091,22700059,0,0
23_1,2019-08-01,7301,88276635,0,0
22_2,2019-08-01,833,15008087,0,0
14_2,2019-08-01,2519,18515918,0,0
20_4,2019-08-01,1842,31819721,0,0
17_1,2019-08-01,2569,31935569,0,0
21_2,2019-08-01,1332,18341690,0,0
20_1,2019-08-01,3784,73473475,0,0
19_3,2019-08-01,1715,30332822,0,0
17_3,2019-08-01,5798,62277913,0,0
21_5,2019-08-01,1648,19611924,0,0
14_3,2019-08-01,4164,28291631,0,0
14_5,2019-08-01,1826,12672060,0,0
22_1,2019-08-01,5246,96601052,0,0
17_2,2019-08-01,9685,413909852,0,0
23_2,2019-08-01,4144,57763766,0,0
18_2,2019-09-01,3078,28949349,0,0
14_1,2019-09-01,4281,64062953,0,0
21_6,2019-09-01,754,6473599,0,0
18_1,2019-09-01,4738,54820621,0,0
14_4,2019-09-01,2624,17206310,0,0
20_2,2019-09-01,2478,26907074,0,0
20_1,2019-09-01,3643,63594054,0,0
21_1,2019-09-01,4960,135703564,0,0
16_1,2019-09-01,3910,447847595,0,0
14_5,2019-09-01,1778,14008668,0,0
23_1,2019-09-01,7337,87408229,0,0
19_1,2019-09-01,801,15818167,0,0
22_2,2019-09-01,611,11952990,0,0
19_3,2019-09-01,1632,23754440,0,0
19_4,2019-09-01,280,3056614,0,0
17_2,2019-09-01,8096,436896437,0,0
20_3,2019-09-01,2409,21464218,0,0
22_1,2019-09-01,4093,81625269,0,0
21_3,2019-09-01,2452,30412836,0,0
14_3,2019-09-01,3449,24156093,0,0
15_3,2019-09-01,2078,21904010,0,0
21_2,2019-09-01,1171,14836623,0,0
14_2,2019-09-01,1968,12895743,0,0
19_2,2019-09-01,1675,15998743,0,0
21_5,2019-09-01,1467,15868051,0,0
20_4,2019-09-01,1574,24092340,0,0
23_3,2019-09-01,10060,151915060,0,0
15_1,2019-09-01,25274,1933407716,0,0
17_3,2019-09-01,5103,44403848,0,0
17_1,2019-09-01,2251,29548372,0,0
15_2,2019-09-01,12399,1009699757,0,0
23_2,2019-09-01,3335,53229881,0,0
17_2,2019-10-01,7535,322031312,0,0
17_1,2019-10-01,2309,27481586,0,0
15_2,2019-10-01,12870,960760982,0,0
14_5,2019-10-01,1595,11858788,0,0
21_3,2019-10-01,2302,28389435,0,0
23_1,2019-10-01,6399,77880007,0,0
15_1,2019-10-01,24410,1808694819,0,0
17_3,2019-10-01,5139,53915598,0,0
21_5,2019-10-01,1224,15367793,0,0
16_1,2019-10-01,4603,612956204,0,0
15_3,2019-10-01,2061,29631359,0,0
23_2,2019-10-01,2864,48430668,0,0
18_1,2019-10-01,4583,60778637,0,0
19_1,2019-10-01,881,10277285,0,0
21_6,2019-10-01,692,5598122,0,0
19_3,2019-10-01,1635,26801116,0,0
20_2,2019-10-01,2180,24713520,0,0
19_2,2019-10-01,1596,16085446,0,0
20_1,2019-10-01,3265,66449860,0,0
22_1,2019-10-01,4220,81248954,0,0
20_4,2019-10-01,2008,25252869,0,0
14_4,2019-10-01,2576,16297175,0,0
14_1,2019-10-01,4289,62143167,0,0
22_2,2019-10-01,712,12677945,0,0
14_2,2019-10-01,1909,15821250,0,0
21_2,2019-10-01,1011,11442985,0,0
20_3,2019-10-01,2155,20876708,0,0
14_3,2019-10-01,2965,23957219,0,0
18_2,2019-10-01,2548,21200384,0,0
23_3,2019-10-01,8233,120542910,0,0
19_4,2019-10-01,239,3877226,0,0
21_1,2019-10-01,4847,143239985,0,0
17_1,2019-11-01,1755,29444560,0,0
19_3,2019-11-01,1563,22840845,0,0
17_3,2019-11-01,4666,38005955,0,0
21_3,2019-11-01,2192,63537802,0,0
14_2,2019-11-01,1854,13905589,0,0
15_3,2019-11-01,1991,23161905,0,0
22_2,2019-11-01,510,11605895,0,0
20_1,2019-11-01,3319,65404640,0,0
19_2,2019-11-01,1342,14521330,0,0
21_6,2019-11-01,862,7577874,0,0
14_3,2019-11-01,2774,22911353,0,0
17_2,2019-11-01,7917,326206436,0,0
21_5,2019-11-01,1197,16466357,0,0
21_1,2019-11-01,4876,137448091,0,0
15_2,2019-11-01,13243,1086466648,0,0
18_2,2019-11-01,2703,25998774,0,0
14_1,2019-11-01,4102,60830591,0,0
20_3,2019-11-01,1968,19924292,0,0
23_1,2019-11-01,5631,83622562,0,0
18_1,2019-11-01,4536,62130368,0,0
16_1,2019-11-01,5071,768221659,0,0
23_3,2019-11-01,7154,101753131,0,0
22_1,2019-11-01,4154,84400983,0,0
21_2,2019-11-01,974,15390223,0,0
14_5,2019-11-01,1495,12984080,0,0
14_4,2019-11-01,2321,18429221,0,0
19_4,2019-11-01,318,3510685,0,0
15_1,2019-11-01,24308,1900190527,0,0
19_1,2019-11-01,900,14256963,0,0
20_2,2019-11-01,2020,27837785,0,0
23_2,2019-11-01,2756,47478958,0,0
20_4,2019-11-01,1733,24768431,0,0
17_2,2019-12-01,8615,384598579,0,0
23_2,2019-12-01,3533,54070047,0,0
14_1,2019-12-01,4090,88675750,0,0
18_2,2019-12-01,3231,24296657,0,0
20_2,2019-12-01,2681,33031207,0,0
20_1,2019-12-01,4161,82730665,0,0
21_2,2019-12-01,1252,20965877,0,0
17_1,2019-12-01,2598,38030142,0,0
14_2,2019-12-01,2027,13401500,0,0
20_3,2019-12-01,2261,21228175,0,0
20_4,2019-12-01,1941,29201390,0,0
21_5,2019-12-01,1595,23309028,0,0
15_2,2019-12-01,14416,1156263714,0,0
22_1,2019-12-01,5220,103834902,0,0
14_4,2019-12-01,2495,20932006,0,0
19_2,2019-12-01,1762,19964775,0,0
14_3,2019-12-01,3023,25540937,0,0
15_3,2019-12-01,2359,30804967,0,0
19_1,2019-12-01,1173,17703534,0,0
22_2,2019-12-01,557,12473935,0,0
15_1,2019-12-01,25924,2050739767,0,0
21_3,2019-12-01,2604,31042865,0,0
19_3,2019-12-01,1812,32307331,0,0
21_1,2019-12-01,5440,163289204,0,0
23_1,2019-12-01,6615,89382067,0,0
18_1,2019-12-01,5453,77453907,0,0
21_6,2019-12-01,747,6376463,0,0
17_3,2019-12-01,5954,52786211,0,0
16_1,2019-12-01,6061,752855272,0,0
19_4,2019-12-01,390,5178860,0,0
14_5,2019-12-01,1826,13948618,0,0
23_3,2019-12-01,8624,119971816,0,0
18_2,2020-01-01,3256,21360534,0,0
21_1,2020-01-01,5252,163242605,0,0
22_2,2020-01-01,464,12467121,0,0
18_1,2020-01-01,5194,59314154,0,0
20_3,2020-01-01,1917,19918125,0,0
15_3,2020-01-01,1878,23127713,0,0
21_6,2020-01-01,624,5881707,0,0
21_3,2020-01-01,2216,25500870,0,0
20_4,2020-01-01,1528,31381830,0,0
16_1,2020-01-01,5293,658828489,0,0
14_5,2020-01-01,1512,10865635,0,0
19_1,2020-01-01,950,14521521,0,0
17_2,2020-01-01,7369,280243584,0,0
17_1,2020-01-01,2486,44629057,0,0
14_2,2020-01-01,1921,17614714,0,0
14_3,2020-01-01,2730,18293182,0,0
22_1,2020-01-01,4999,93694535,0,0
15_1,2020-01-01,22237,1805104882,0,0
19_3,2020-01-01,1514,23052140,0,0
20_1,2020-01-01,3236,63524654,0,0
21_2,2020-01-01,1049,13700735,0,0
17_3,2020-01-01,4755,38915554,0,0
23_3,2020-01-01,6260,88354661,0,0
14_1,2020-01-01,3952,51248313,0,0
19_2,2020-01-01,1319,15156989,0,0
20_2,2020-01-01,2205,26984780,0,0
23_1,2020-01-01,5881,68267206,0,0
23_2,2020-01-01,3236,48049633,0,0
15_2,2020-01-01,11954,935715174,0,0
21_5,2020-01-01,1197,15373698,0,0
14_4,2020-01-01,2003,16030048,0,0
19_4,2020-01-01,464,3913935,0,0
22_2,2020-02-01,586,13411321,0,0
21_1,2020-02-01,5856,177104500,0,0
17_2,2020-02-01,9486,404209098,0,0
20_4,2020-02-01,1972,35184230,0,0
19_1,2020-02-01,1473,18929772,0,0
21_3,2020-02-01,2751,32313940,0,0
18_1,2020-02-01,5691,67972419,0,0
19_2,2020-02-01,1961,20439919,0,0
23_1,2020-02-01,8209,103263040,0,0
19_3,2020-02-01,2173,32744775,0,0
19_4,2020-02-01,441,4551190,0,0
18_2,2020-02-01,3789,33422107,0,0
20_1,2020-02-01,3807,78637089,0,0
23_2,2020-02-01,4852,69919895,0,0
20_2,2020-02-01,2720,35896456,0,0
21_2,2020-02-01,1139,16367430,0,0
21_5,2020-02-01,1626,21233617,0,0
17_1,2020-02-01,3079,33549684,0,0
20_3,2020-02-01,2486,24879936,0,0
16_1,2020-02-01,6187,738070176,0,0
15_3,2020-02-01,2594,30642558,0,0
17_3,2020-02-01,5534,45706795,0,0
15_1,2020-02-01,26299,2200943399,0,0
22_1,2020-02-01,6101,113983602,0,0
14_5,2020-02-01,2130,15190030,0,0
14_2,2020-02-01,2098,17880967,0,0
23_3,2020-02-01,7896,114481607,0,0
14_1,2020-02-01,4658,62577930,0,0
14_4,2020-02-01,2762,21330798,0,0
15_2,2020-02-01,14898,1172865763,0,0
21_6,2020-02-01,654,6504433,0,0
14_3,2020-02-01,3243,21676692,0,0
19_3,2020-03-01,1525,29553726,0,0
20_4,2020-03-01,1734,28372288,0,0
14_2,2020-03-01,1928,12996208,0,0
23_1,2020-03-01,5744,69051364,0,0
22_2,2020-03-01,478,21113825,0,0
16_1,2020-03-01,4552,639551082,0,0
14_3,2020-03-01,3065,21452512,0,0
17_2,2020-03-01,7382,389937640,0,0
14_1,2020-03-01,3868,86288684,0,0
14_5,2020-03-01,1839,13097423,0,0
17_3,2020-03-01,3711,33299677,0,0
19_4,2020-03-01,414,3788075,0,0
21_2,2020-03-01,1122,17066492,0,0
21_3,2020-03-01,2047,21392237,0,0
18_1,2020-03-01,4168,56216847,0,0
20_1,2020-03-01,3133,58938590,0,0
20_3,2020-03-01,2068,18392715,0,0
23_3,2020-03-01,5699,93196149,0,0
17_1,2020-03-01,2078,19040663,0,0
15_2,2020-03-01,11009,827350110,0,0
21_5,2020-03-01,1061,12860578,0,0
18_2,2020-03-01,2916,25385565,0,0
22_1,2020-03-01,4598,91595270,0,0
19_1,2020-03-01,1105,14473096,0,0
15_1,2020-03-01,19281,1634579400,0,0
14_4,2020-03-01,2157,18193770,0,0
20_2,2020-03-01,2014,26747225,0,0
21_1,2020-03-01,4506,116917458,0,0
21_6,2020-03-01,596,6225967,0,0
15_3,2020-03-01,1988,21851696,0,0
19_2,2020-03-01,1591,16975713,0,0
23_2,2020-03-01,3046,46034033,0,0
18_2,2020-04-01,21,14090,0,0
23_1,2020-04-01,195,3249291,0,0
23_2,2020-04-01,188,3293465,0,0
22_2,2020-04-01,18,719375,0,0
22_1,2020-04-01,419,868795,0,0
21_5,2020-04-01,2,0,0,0
20_4,2020-04-01,46,1237635,0,0
20_3,2020-04-01,126,187510,0,0
19_3,2020-04-01,7,186260,0,0
19_4,2020-04-01,1,0,0,0
19_2,2020-04-01,23,373625,0,0
14_1,2020-04-01,422,7340232,0,0
21_3,2020-04-01,27,259770,0,0
20_1,2020-04-01,90,2004050,0,0
18_1,2020-04-01,507,1083955,0,0
14_2,2020-04-01,4,30615,0,0
15_1,2020-04-01,411,40548790,0,0
15_2,2020-04-01,155,26577040,0,0
17_1,2020-04-01,84,745700,0,0
17_2,2020-04-01,115,2450622,0,0
14_3,2020-04-01,351,2980350,0,0
19_1,2020-04-01,9,107295,0,0
17_3,2020-04-01,78,143310,0,0
21_1,2020-04-01,308,8877215,0,0
21_6,2020-04-01,33,246120,0,0
15_3,2020-04-01,157,645215,0,0
23_3,2020-04-01,44,599955,0,0
14_4,2020-04-01,316,2317359,0,0
21_2,2020-04-01,33,711680,0,0
14_5,2020-04-01,55,448760,0,0
16_1,2020-04-01,89,16746877,0,0
20_2,2020-04-01,158,1151995,0,0
17_2,2020-05-01,4114,102895138,0,0
21_3,2020-05-01,1642,18028360,0,0
22_2,2020-05-01,310,7120075,0,0
23_2,2020-05-01,2743,41541241,0,0
20_2,2020-05-01,1557,21758258,0,0
14_5,2020-05-01,943,7499276,0,0
20_3,2020-05-01,1425,14700340,0,0
17_1,2020-05-01,1764,16799076,0,0
23_3,2020-05-01,3256,45967439,0,0
22_1,2020-05-01,3683,59134077,0,0
19_4,2020-05-01,467,4000670,0,0
17_3,2020-05-01,3107,27244759,0,0
18_1,2020-05-01,3803,46347922,0,0
