dist_code,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,Brand_new_vehicles,Pre-owned_vehicles,category_Non-Transport,category_Transport
15_1,2019-04-01,17910,3011,76,22,15308,4429,0,4,1278,16110,4182,717,19542,1477,19856,1163
18_2,2019-04-01,3066,306,6,0,2995,142,49,64,128,3156,189,33,3322,56,3203,175
20_3,2019-04-01,1577,215,0,0,1546,79,29,21,117,1683,104,5,1751,41,1648,144
21_3,2019-04-01,1961,281,2,0,1939,72,72,48,113,2082,146,16,2209,35,2075,169
21_7,2019-04-01,1552,309,0,0,1512,76,69,109,95,1696,145,20,1820,41,1701,160
14_1,2019-04-01,4550,660,0,0,4431,264,193,84,238,4714,450,44,5104,106,4802,408
17_3,2019-04-01,3112,496,0,0,3038,233,70,72,195,3276,279,53,3470,138,3353,255
14_3,2019-04-01,2200,496,0,0,2160,110,74,162,190,2483,194,19,2645,51,2440,256
19_2,2019-04-01,1736,263,2,9,1678,121,55,70,86,1806,173,31,1980,30,1879,131
14_2,2019-04-01,2033,173,0,0,2017,67,22,47,53,2111,87,8,2162,44,2134,72
20_4,2019-04-01,2066,350,4,5,1993,146,62,69,155,2181,208,34,2371,54,2222,203
15_3,2019-04-01,3636,877,6,2,3502,341,481,74,123,3666,796,59,4412,109,3928,593
19_3,2019-04-01,2006,367,9,14,1924,178,112,12,170,2081,295,20,2330,66,2128,268
23_1,2019-04-01,4656,744,2,12,4481,330,92,200,311,4947,399,68,5294,120,5035,379
23_2,2019-04-01,3295,676,1,2,3192,202,113,120,347,3606,295,71,3911,63,3526,448
20_2,2019-04-01,2786,440,2,0,2720,135,106,121,146,2951,245,30,3120,108,2986,242
23_3,2019-04-01,2468,470,2,12,2398,198,56,81,219,2679,236,37,2899,53,2690,262
20_1,2019-04-01,3028,579,0,15,2897,278,112,60,275,3195,382,45,3514,108,3262,360
16_1,2019-04-01,24309,2957,284,1540,22081,3749,1518,0,1742,23082,5306,698,27121,1969,25973,3117
15_2,2019-04-01,19273,3634,42,16,17309,3871,0,18,1767,18567,3684,695,21570,1395,21326,1639
17_2,2019-04-01,5291,1115,25,8,4854,842,282,56,405,5220,1072,147,6165,274,5808,631
17_1,2019-04-01,2240,439,2,0,2181,145,144,31,180,2374,273,34,2545,136,2363,318
18_1,2019-04-01,4701,772,2,22,4493,481,188,110,225,4785,646,66,5426,71,5096,401
14_4,2019-04-01,1752,262,0,0,1722,72,58,64,98,1865,131,18,1992,22,1865,149
22_1,2019-04-01,5740,760,4,49,5628,345,228,86,266,5939,535,79,6412,141,6077,476
21_5,2019-04-01,1945,297,1,2,1923,48,85,49,140,2087,144,14,2203,42,2030,215
22_2,2019-04-01,3527,669,2,4,3409,234,231,74,254,3683,467,52,4096,106,3725,477
19_1,2019-04-01,1758,326,0,2,1697,116,77,13,183,1823,184,79,2061,25,1832,254
21_2,2019-04-01,5371,999,3,6,5158,537,190,78,416,5564,725,90,6216,163,5792,587
19_4,2019-04-01,1149,155,0,0,1136,27,53,0,88,1212,76,14,1288,16,1167,137
21_2,2019-05-01,6101,988,7,10,5784,635,150,117,420,6168,765,171,6897,209,6558,548
19_1,2019-05-01,1870,190,0,9,1823,96,71,6,73,1883,159,27,2040,29,1926,143
22_2,2019-05-01,3364,828,2,2,3260,249,245,185,257,3635,487,74,4097,99,3708,488
21_5,2019-05-01,2126,415,0,0,2089,72,76,91,213,2347,151,43,2503,38,2257,284
22_1,2019-05-01,4989,926,0,56,4845,364,250,166,346,5274,626,65,5671,300,5399,572
18_1,2019-05-01,5795,900,4,25,5564,473,234,160,293,5966,673,85,6591,133,6212,512
15_2,2019-05-01,18836,3695,69,47,16642,4123,0,14,1868,17840,3864,929,21106,1541,20919,1728
17_2,2019-05-01,5458,1157,5,2,5050,810,255,46,461,5379,1027,208,6313,309,5949,673
16_1,2019-05-01,24949,3035,83,1755,21847,4028,1705,6,2236,23513,5501,806,27738,2084,26018,3804
14_4,2019-05-01,1587,298,0,0,1555,61,64,71,134,1734,129,22,1831,54,1693,192
15_1,2019-05-01,17962,3280,76,27,15060,4667,0,13,1605,15958,4454,903,19894,1451,19888,1457
23_3,2019-05-01,2404,595,0,16,2321,231,53,144,266,2695,285,35,2942,73,2709,306
17_1,2019-05-01,2134,453,0,0,2076,123,143,86,159,2303,262,22,2509,78,2294,293
20_1,2019-05-01,2846,753,0,14,2698,290,124,105,396,3080,440,93,3510,103,3133,480
19_4,2019-05-01,963,163,2,0,954,33,64,6,71,1023,96,7,1113,15,995,133
23_1,2019-05-01,5141,1103,4,12,5001,367,126,302,464,5654,498,102,6163,97,5694,566
20_3,2019-05-01,1639,207,4,0,1611,62,25,37,115,1751,85,14,1810,40,1722,128
21_3,2019-05-01,1617,313,0,0,1575,85,42,104,124,1773,132,23,1796,134,1784,146
21_7,2019-05-01,1741,344,0,0,1703,84,58,141,99,1915,146,24,2048,37,1934,151
14_1,2019-05-01,3975,823,4,2,3874,300,212,86,332,4199,518,78,4680,124,4288,516
17_3,2019-05-01,3338,603,2,0,3236,252,60,103,292,3577,329,37,3837,106,3605,338
14_3,2019-05-01,1816,470,0,0,1778,100,64,114,230,2075,179,32,2246,40,1998,288
18_2,2019-05-01,3080,378,10,2,3026,160,60,61,163,3208,223,39,3413,57,3257,213
19_2,2019-05-01,2424,276,0,8,2360,137,49,51,111,2482,181,45,2672,36,2560,148
19_3,2019-05-01,1899,471,7,9,1828,174,142,18,224,2040,304,42,2316,70,2033,353
15_3,2019-05-01,4075,954,4,0,3973,304,530,58,168,4154,815,64,4899,134,4351,682
23_2,2019-05-01,4823,879,0,0,4721,219,77,240,445,5298,282,120,5549,153,5192,510
14_2,2019-05-01,1684,193,0,0,1659,72,38,44,64,1755,106,10,1843,34,1777,100
20_2,2019-05-01,2907,541,0,0,2831,178,67,137,235,3158,245,43,3376,72,3156,292
20_4,2019-05-01,1893,374,4,2,1822,165,70,72,144,2006,249,18,2215,58,2067,206
23_3,2019-06-01,2257,652,2,14,2195,188,65,121,356,2618,233,70,2855,70,2534,391
